,,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL
,,BPRMF,BPRMF,WRMF,WRMF,SVD,SVD,CoFFee,CoFFee,mostpopular,mostpopular,random,random
fold,topk,,,,,,,,,,,,
1,1,0.00669410363674,0.00892427375159,0.0125087494867,0.0163805833297,0.0127154125718,0.0191145974187,0.0109887904886,0.0051427874752,0.0155418517248,0.0114888953253,9.28544164248e-05,0.000376387675504
1,2,0.0106464935796,0.0151652832441,0.0195755258555,0.0286375874559,0.020306311414,0.0325218642745,0.0163962428872,0.00779397973407,0.0242799095692,0.0186652648852,0.000120171778528,0.000508002931206
1,3,0.0137140993615,0.0195942954051,0.0245885111824,0.0374126666767,0.0257734514778,0.0422064966388,0.0207603774013,0.0108264372691,0.0322602442972,0.0225280037281,0.000183522685158,0.000730225043943
1,5,0.0186630736596,0.0278055013652,0.0332850485731,0.0508102279838,0.0349517701,0.057861056104,0.0271838196459,0.0156546985426,0.0429007469009,0.0309546947405,0.000322090857307,0.00103403667668
1,10,0.0273602673164,0.0445557647847,0.0484782454869,0.0747707978674,0.0500217883659,0.0843011600079,0.0356377879855,0.0229054815174,0.0584432990019,0.0485411883138,0.000591092433324,0.00167493588297
1,15,0.0339191485115,0.0578692830092,0.059225854488,0.0939321240666,0.060686164881,0.103753400994,0.0405556747727,0.0283811515177,0.07169348824,0.0620925726127,0.000755869608291,0.00219258547053
1,20,0.0388808476153,0.068855443898,0.0681530765117,0.108436668701,0.0699634755984,0.120518971513,0.0442160468483,0.0313427665942,0.0812015546222,0.0734546229307,0.000933714138008,0.0025458872427
1,30,0.0470765416774,0.0886649071342,0.0812851841386,0.133131217565,0.0832284252697,0.146932234473,0.048942021408,0.0370081902989,0.0952047406988,0.0889429294621,0.00120665676004,0.00315930129477
1,50,0.0592068831766,0.115621964895,0.0980482111762,0.16647109627,0.100041425716,0.181784790299,0.0557664622766,0.0455986171584,0.111537445616,0.123470035388,0.00177673168916,0.00399377273129
1,70,0.0684071976008,0.134954238831,0.108268575184,0.186435232426,0.110493757682,0.202643876351,0.0603325006419,0.0514960662386,0.123148098827,0.145247309974,0.00229413161504,0.00510866638087
1,100,0.0785717790988,0.157322493011,0.1184483555,0.207101504054,0.120669153658,0.223894473588,0.0655337824746,0.0579244355062,0.138538795333,0.170492107029,0.0029967938767,0.00625526591566
2,1,0.0065472053399,0.0086058107468,0.012546106014,0.015721633257,0.0131378229271,0.0209475540795,0.0088680425631,0.00468175009378,0.0161450745172,0.0107803583808,0.000103199565798,0.000564467001178
2,2,0.0103222406985,0.0134258130783,0.0194835190456,0.0269684494503,0.0207524200357,0.0330602960558,0.0133332314403,0.00853156747648,0.0256915053564,0.0184104402658,0.000283113262217,0.000734382109553
2,3,0.0133155282183,0.0182902619107,0.0250730528156,0.0360282047597,0.026562433747,0.0429744511534,0.0172502651568,0.0102793723999,0.0341298026367,0.022199061967,0.000342629932327,0.000870675633148
2,5,0.0176493611787,0.026598481507,0.0338618590215,0.048703947982,0.0355383124599,0.05774529857,0.0229097991826,0.0139760152574,0.044538620998,0.0307525525156,0.000500052768433,0.00116244902218
2,10,0.0259474443171,0.0417259457435,0.0480060572537,0.0718347466322,0.0496756194032,0.0825570234735,0.0309450320184,0.0207821614765,0.0613915197358,0.0486537352991,0.000740547342404,0.00193638183147
