,,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate
,,BPRMF,BPRMF,BPRMF,BPRMF,BPRMF,WRMF,WRMF,WRMF,WRMF,WRMF,SVD,SVD,SVD,SVD,SVD,CoFFee,CoFFee,CoFFee,CoFFee,CoFFee,mostpopular,mostpopular,mostpopular,mostpopular,mostpopular,random,random,random,random,random
fold,topk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.0227289444649,0.0040515303829,0.00291397397503,0.971709049195,0.984767888521,0.0414858403825,0.00776259946175,0.00532113814019,0.96930188503,0.981056819442,0.0417800662008,0.00791546261756,0.00629138280297,0.968331640367,0.980903956286,0.032144170651,0.00617903407532,0.0016051652977,0.973017857873,0.982640384829,0.0446487679294,0.00884960040164,0.00371293717929,0.970910085991,0.979969818502,0.000367782272894,5.61597692896e-05,0.000118303297781,0.974504719873,0.988763259135
1,2,0.0401986024274,0.00780574090615,0.00615439850085,0.968468624669,0.981013677998,0.0726002206694,0.0145887260139,0.0115794205386,0.963043602632,0.97423069289,0.0739610150791,0.0151493604675,0.0130923191883,0.961530703982,0.973670058437,0.056160353071,0.0110479751543,0.00294514790101,0.971677875269,0.97777144375,0.0841485840382,0.016754029551,0.00735459465139,0.967268428519,0.972065389353,0.000514895182052,8.68082920308e-05,0.000186751665236,0.974436271505,0.988732610612
1,3,0.0548485962977,0.0114501421508,0.00906878112285,0.965554242047,0.977369276753,0.0974745617261,0.0207168835415,0.0171570430305,0.95746598014,0.968102535363,0.101593723183,0.0218532431975,0.0192800516063,0.955342971564,0.966966175707,0.0783376241265,0.0160837609532,0.00486517568901,0.969757847481,0.972735657951,0.123280617874,0.0261153435262,0.00982235532438,0.964800667846,0.962704075378,0.000956233909526,0.000158263133622,0.000333105658593,0.974289917512,0.98866115577
1,5,0.0788831678313,0.0185847971652,0.0156330817236,0.958989941447,0.970234621739,0.14308569327,0.0337737963887,0.0276263740754,0.946996649095,0.955045622515,0.146660536962,0.0357783849104,0.0314357227505,0.94318730042,0.953041033994,0.113387274733,0.0253623239169,0.00860794409709,0.966015079073,0.963457094987,0.177624126517,0.0415582292743,0.0160905911954,0.958532431975,0.94726118963,0.00220669363737,0.000379516278744,0.000576746819851,0.97404627635,0.988439902625
1,10,0.120051839787,0.0353726568475,0.0326817457399,0.94194127743,0.953446762057,0.21513424053,0.0636787275901,0.0514018926193,0.923221130551,0.925140691314,0.216461233997,0.0654393246817,0.0578085138677,0.916814509303,0.923380094222,0.167765109722,0.0408949660531,0.0157853027198,0.95883772045,0.947924452851,0.25963589555,0.0706312428122,0.0337631715675,0.940859851603,0.918188176092,0.00500183891136,0.000926665382348,0.00121117124059,0.97341185193,0.987892753522
1,15,0.149029755337,0.0510083655873,0.0489569577984,0.925666065372,0.937811053317,0.259281423493,0.0895046323053,0.0746155215795,0.900007501591,0.899314786599,0.259836249321,0.0908768396411,0.0812198987723,0.893403124398,0.897942579263,0.205629520657,0.0520921265405,0.0223104899677,0.952312533203,0.936727292364,0.326780504037,0.101314267033,0.0502307395926,0.924392283578,0.887505151871,0.00757631482163,0.00132856967723,0.00179912666305,0.972823896507,0.987490849227
1,20,0.170660694583,0.063977827983,0.0640320612737,0.910590961897,0.924841590921,0.291429593046,0.113286630822,0.0942495782179,0.880373444952,0.875532788082,0.29067648587,0.115602841848,0.103897849933,0.870725173237,0.873216577056,0.234943519151,0.0613959088601,0.0262669807411,0.948356042429,0.927423510044,0.371622211714,0.126129383468,0.0653448396644,0.909278183506,0.862690035436,0.00985656491357,0.00177297325697,0.00228775168275,0.972335271488,0.987046445647
1,30,0.200883728261,0.0884470247582,0.0940880167195,0.880535006451,0.900372394146,0.334071174627,0.151995364776,0.131413655814,0.843209367356,0.836824054128,0.333385027175,0.155124900027,0.143572800458,0.831050222713,0.833694518877,0.273216868947,0.0746713894581,0.0347951803009,0.939827842869,0.914148029446,0.441599210728,0.165416440451,0.0889503318797,0.885672691291,0.823402978453,0.0146009562339,0.00263699889665,0.00321853272387,0.971404490446,0.986182420007
1,50,0.24274949357,0.128991955493,0.140630980111,0.83399204306,0.859827463412,0.387159961937,0.208652311482,0.188125682294,0.786497340876,0.780167107422,0.382689685167,0.211658172648,0.203134964419,0.771488058752,0.777161246257,0.327475846045,0.096478893384,0.049199460586,0.925423562584,0.89234052552,0.477998359574,0.220018885328,0.147762424327,0.826860598843,0.768800533576,0.0254873115116,0.00456908177026,0.00465638627647,0.969966636894,0.984250337134
1,70,0.272292918148,0.163334763598,0.177555094368,0.797067928802,0.825484655306,0.4236354402,0.246768448951,0.226110644086,0.748512379084,0.742050969953,0.416651313216,0.250820592305,0.242952240845,0.731670782325,0.737998826599,0.364218812939,0.112820452197,0.0602294552736,0.914393567897,0.875998966707,0.508820207009,0.26271029265,0.188819331337,0.785803691833,0.726109126254,0.0359691062891,0.00650107707666,0.00678564131304,0.967837381857,0.982318341827
1,100,0.303339433849,0.204546109973,0.223823155105,0.750799868065,0.784273308931,0.45505332843,0.287834579707,0.268839179904,0.705783843266,0.700984839197,0.446643899193,0.29205044455,0.286938679603,0.687684343567,0.696768974354,0.399094642638,0.133130235789,0.0735145974535,0.901108425717,0.855689183115,0.548138262783,0.323826862117,0.240242882245,0.734380140925,0.664992556787,0.0500061297045,0.00938530739009,0.00912692574885,0.965496097421,0.979434111514
2,1,0.0213313718279,0.00379478332954,0.00276954646024,0.970161678255,0.982965054846,0.0417800662008,0.00753921551457,0.00509877581043,0.967832448905,0.979220622661,0.0428834130195,0.0077646426966,0.00681334173979,0.966117882975,0.978995195479,0.0264067671938,0.00513383188264,0.00148330093347,0.971447923782,0.981626006293,0.0463405663847,0.00926361816027,0.00351424718471,0.96941697753,0.977496220016,0.000367782272894,7.61834708138e-05,0.000184708430387,0.972746516285,0.986683654705
2,2,0.0387274733358,0.0074128268446,0.00528444748011,0.967646777235,0.979347011331,0.0734093416697,0.0143737485187,0.0108154550284,0.962115769687,0.972386089657,0.0777123942626,0.0152847977489,0.0129938060795,0.959937418635,0.971475040427,0.0452739977933,0.00920083247226,0.00337107479991,0.969560149915,0.977559005704,0.0878264067672,0.0179993228136,0.00734936980799,0.965581854907,0.968760515362,0.00125045972784,0.000255550301523,0.000276829133026,0.972654395582,0.986504287874
2,3,0.053242613706,0.0110312498176,0.00847761490277,0.964453609812,0.975728588358,0.100833639819,0.0212271668506,0.0164795355435,0.956451689171,0.965532671325,0.10501409832,0.0225617494761,0.0192497241633,0.953681500552,0.9641980887,0.065440725757,0.013862793861,0.00447725295831,0.968453971757,0.972897044315,0.127841118058,0.0280115530336,0.00974798157586,0.963183243139,0.958748285142,0.00176535490989,0.000322743539,0.000360893652545,0.972570331062,0.986437094637
2,5,0.0769094029668,0.0173078337624,0.0150910990852,0.95784012563,0.969452004413,0.142337869315,0.0346118729458,0.0263833867493,0.946547837966,0.95214796523,0.148294716195,0.0360707718174,0.0306731583157,0.942258066399,0.950689066358,0.0983511094765,0.021758232777,0.00730260891901,0.965628615796,0.965001605399,0.180703690082,0.0429857790854,0.0161517714846,0.95677945323,0.94377405909,0.00323648400147,0.00058527002808,0.000599922940857,0.972331301774,0.986174568148
2,10,0.117882800049,0.033336135484,0.0304368436108,0.942494381104,0.953423702692,0.208788945516,0.0624278008371,0.0495384332475,0.923392791467,0.924332037339,0.209711028214,0.0635235293087,0.0556953711974,0.917235853518,0.923236308867,0.151487066323,0.0364029142367,0.0139715523331,0.958959672382,0.950356923939,0.268557067549,0.0743926922246,0.0342423685178,0.938688856197,0.912367145951,0.00588451636631,0.00105366702277,0.00137658569619,0.971554639019,0.985706171153
2,15,0.142160983555,0.0471429738991,0.0453746708932,0.927556553822,0.939616864277,0.251819646579,0.0878328283624,0.0705836646293,0.902347560086,0.898927009813,0.251533155864,0.0884742581598,0.0780210978593,0.894910126856,0.898285580016,0.189998774059,0.0467540587401,0.0190545660461,0.953876658669,0.940005779436,0.330919368115,0.104679562397,0.0511732838287,0.921757940886,0.882080275778,0.00779698418536,0.00144804053778,0.00178356888912,0.971147655826,0.985311797638
2,20,0.159186938475,0.0596255334302,0.0615085494784,0.911422675237,0.927134304746,0.28131406271,0.110828531731,0.0918760106715,0.881055214043,0.875931306444,0.280384653555,0.111245935422,0.0992536354986,0.873677589216,0.875513902754,0.217906092926,0.0548309660998,0.0234387642516,0.949492460463,0.931928872076,0.379786190068,0.130526278919,0.0648085488946,0.90812267582,0.856233559257,0.0101875689592,0.0018980776079,0.00243576945306,0.970495455262,0.984861760568
2,30,0.186647460259,0.0835739096423,0.0904721040065,0.882459120708,0.903185928533,0.322956414882,0.150422628534,0.129217382675,0.84371384204,0.836337209642,0.320549542607,0.149856535725,0.138208754386,0.834722470329,0.836903302451,0.261461496699,0.0696551603356,0.0324055879554,0.94052563676,0.91710467784,0.445339906712,0.168390631476,0.0890592654863,0.883871959229,0.818369206699,0.015888194189,0.00285048774935,0.00333759493745,0.969593629778,0.983909350426
