,,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL
,,BPRMF,BPRMF,WRMF,WRMF,SVD,SVD,CoFFee,CoFFee,mostpopular,mostpopular,random,random
fold,top-n,,,,,,,,,,,,
1,1,0.0667775261944,0.0312541352395,0.0834666723737,0.0261762155124,0.0809920319256,0.0309720460608,0.0724149300331,0.0182674038978,0.0351575024665,0.0177348417225,0.000719312953736,0.000965998784405
1,2,0.0983086554849,0.0459428271374,0.119778593329,0.0445012262719,0.120414930151,0.0494017588074,0.103318138886,0.0299274842868,0.0498279094195,0.0259570863777,0.0010441263939,0.001405144443
1,3,0.119863038535,0.0573821522362,0.142389017902,0.0545752343323,0.144138673495,0.0606714483457,0.122019294528,0.0399454588204,0.0577879871968,0.0334761783322,0.0010441263939,0.00161696342946
1,5,0.145204860852,0.077176950801,0.170409248111,0.0727298629612,0.170470008736,0.0801844156454,0.148119259919,0.0545673081388,0.0714365693621,0.0443507677187,0.00134356489044,0.00348443742425
1,10,0.179760186578,0.107244143481,0.209532347118,0.101365388908,0.209098005928,0.108992097514,0.182208441578,0.0770709524008,0.0930807139864,0.0586745063726,0.00177491457832,0.00348443742425
1,15,0.203981244104,0.128265729672,0.228965600334,0.121535454996,0.228755562199,0.129892113717,0.203369830211,0.0905205793084,0.109614770554,0.0685028616651,0.00225984127818,0.00623670275183
1,20,0.22082154794,0.146455013189,0.244593279585,0.138068345805,0.243689501426,0.148157834992,0.218770316901,0.10498312095,0.121133588757,0.079684001274,0.0035376505021,0.0064038546513
1,30,0.245826711783,0.172357791367,0.266945229401,0.164204299258,0.266816516312,0.177029173145,0.240390159277,0.131185651073,0.136326601562,0.0940834166026,0.00441567390579,0.00821448288362
1,50,0.273090793517,0.213385975801,0.295621489246,0.199892215917,0.294071283459,0.215558514644,0.269721556106,0.1624751059,0.15624185074,0.114716857359,0.00610163114477,0.0107956265222
1,70,0.292206732754,0.245146807044,0.314526302076,0.226024150583,0.313691935517,0.241494746251,0.287321678623,0.186507165888,0.17003909388,0.137118745154,0.00772364920413,0.0143284981766
1,100,0.312283274664,0.281987877338,0.332823319922,0.253813530801,0.33259283819,0.274880718675,0.305790898763,0.210094736728,0.185011659179,0.158810048887,0.0103894010078,0.0186680428546
2,1,0.0627798120266,0.0325040882156,0.075091035746,0.0332314607151,0.0759777701303,0.0319083820675,0.071428925237,0.0218198015684,0.0350245626451,0.013451459123,0.000539203286549,0.0
2,2,0.0939014096676,0.0465264366255,0.110933043168,0.0444479429885,0.108282087928,0.0460357800852,0.09758719784,0.0326358450543,0.0474469828165,0.0229348658789,0.000539203286549,0.00198212263663
2,3,0.114259901113,0.0590749046853,0.131177909107,0.0559129462322,0.130609721749,0.0547374916901,0.116893114947,0.039350279492,0.0585444482184,0.0328539909047,0.000769610139629,0.0021262588095
2,5,0.138453911372,0.0821012513321,0.157563616082,0.0711653743331,0.155685088868,0.0731193397811,0.139559402449,0.0508570298969,0.0732165142738,0.0419208447881,0.000874550027342,0.0021262588095
2,10,0.175908808086,0.112838289603,0.193100908247,0.0973625286981,0.192753096695,0.100824734524,0.175000878663,0.0747816740345,0.0939820298285,0.0603694422164,0.00138780936712,0.00338443396677
2,15,0.199695422857,0.137691633889,0.215086936982,0.118044496272,0.215304469369,0.127031403156,0.194286521554,0.0897107457951,0.106733045336,0.0720771285634,0.00234231141583,0.00403053975288
2,20,0.216763109668,0.159043048456,0.229841969781,0.133767728575,0.229953537884,0.141907509037,0.207938020516,0.101485621559,0.116331454129,0.0820857021323,0.00306040928965,0.00461040318012
2,30,0.240637546871,0.18684999786,0.250343720809,0.156189649251,0.250588036384,0.168007929881,0.228318164831,0.119908387998,0.131874497034,0.093235354428,0.00408687741493,0.00658051377905
2,50,0.271647760177,0.227577073255,0.279020863793,0.191361107612,0.277831599428,0.20920897949,0.255025144727,0.149604173148,0.149194218906,0.114058657079,0.00606622213681,0.0103662573741
2,70,0.291152162142,0.256813117211,0.297269430018,0.218009306903,0.295874346939,0.236506070239,0.272592562483,0.173135996794,0.160881829785,0.126743259355,0.00770316766044,0.0124098471827
2,100,0.309353559369,0.288525637427,0.315075690648,0.247278000116,0.313079542236,0.265803235291,0.291344779852,0.199700502083,0.176271744725,0.148149002268,0.00956140623344,0.0173512881117
3,1,0.0752951538101,0.0255385154172,0.0843411544659,0.0228024109519,0.0869762781915,0.0214547653619,0.0832264639207,0.0178014170182,0.035883639243,0.0129882775491,0.000843431652375,0.000875130558489
3,2,0.103709895271,0.0397618209012,0.122584050406,0.0351212181415,0.123642625948,0.0411209343848,0.115776894699,0.0288118974586,0.0538711512509,0.0235880817362,0.00127657046895,0.0013030876593
3,3,0.124675755329,0.0506574105796,0.145279639675,0.0460247613816,0.146021564729,0.0566264467906,0.135994566562,0.0379887518539,0.0625365636367,0.0267243681911,0.00179839177077,0.00142165998366
3,5,0.150134392008,0.0687003136074,0.173148370541,0.0663813387956,0.173020759127,0.076831660363,0.160327107407,0.0528367028221,0.076220795813,0.0369643937103,0.00235580064836,0.00217636844511
3,10,0.185979834885,0.0971651127997,0.208709083972,0.0997567365327,0.210441213123,0.109952426497,0.193153075879,0.0799842254977,0.0973245665039,0.0569178175063,0.00341359973184,0.00342501665284
3,15,0.208669488107,0.117976896707,0.231461281896,0.121831816751,0.232641579895,0.135553995913,0.215930592988,0.0977722068844,0.113297401587,0.0730424673489,0.00407482669916,0.00438566849625
3,20,0.22347795267,0.13736189888,0.247790305861,0.139519701596,0.248586017193,0.151454052311,0.231531994518,0.114044454339,0.124921415369,0.0831422880148,0.00509292768328,0.00586969255825
3,30,0.246398731825,0.172973122407,0.269346012419,0.162316878966,0.271023764555,0.181022681678,0.254372016046,0.138216863684,0.139074651621,0.0993420377373,0.0062042192766,0.00815744621346
3,50,0.275768734476,0.218201151981,0.298351081984,0.201790218091,0.301081331603,0.222747516539,0.284042232478,0.174040259208,0.159992519167,0.130643479137,0.00785609035443,0.0107006039337
3,70,0.295308157144,0.249624307174,0.315692115659,0.227523993018,0.318426457216,0.253480603951,0.302316253385,0.195446905045,0.174827704745,0.148633448539,0.00952982533215,0.0129337632484
3,100,0.315128346918,0.278248524637,0.33397684045,0.254773779939,0.336906023128,0.282794232231,0.321584284991,0.222722539965,0.19126621843,0.171314137988,0.0118705467188,0.0172602164467
4,1,0.0545506712502,0.0308356018953,0.073488152997,0.0244844496853,0.0753980202346,0.0270997473602,0.0652345992592,0.0226692664822,0.032406668122,0.0215256503769,0.000147481544727,0.0
4,2,0.0824287244131,0.0483571368722,0.105968348587,0.0384910929502,0.108174480699,0.0431962790735,0.0949943034931,0.0371938773529,0.047019194352,0.0346763210868,0.000455858872342,0.0
4,3,0.099151324191,0.0559926030386,0.126808513269,0.052197258822,0.128168951588,0.0536513788871,0.114254399088,0.0477460592082,0.0560692786288,0.0421464653569,0.000819154075427,0.00072678811176
4,5,0.122318380151,0.0766168847367,0.154674304904,0.06922395962,0.157425857717,0.0720765294808,0.137663952615,0.0631160488189,0.0678343679783,0.0482664712991,0.00165188201673,0.00208775058782
4,10,0.157059305408,0.0988927495472,0.190871727067,0.097842098132,0.195154792843,0.10129257338,0.174408655579,0.0824281385199,0.0867438469578,0.0629132215164,0.00289007643614,0.00351232009466
4,15,0.182443128236,0.121231020675,0.214328630613,0.114858415805,0.216644694291,0.121907787247,0.194050598259,0.101777724263,0.10096864862,0.0740580278174,0.00381218488077,0.0047358112402
4,20,0.198234631208,0.139493818521,0.231161576572,0.128905410641,0.231931475092,0.137337912095,0.209324148342,0.11228512863,0.109564305677,0.0842997126724,0.00456823282065,0.00618216966298
4,30,0.22104396137,0.167018761748,0.251349099832,0.151026745427,0.253466825099,0.165739729205,0.230122844605,0.130552064113,0.125171520909,0.100325580598,0.00564738570246,0.00787872213445
4,50,0.249148915636,0.206556611897,0.278099333903,0.184435301155,0.280848215915,0.199376667233,0.257861653146,0.159315972704,0.144365135895,0.121555501068,0.00736966597297,0.0131508687258
4,70,0.267414015493,0.230943671806,0.295564056456,0.208928139925,0.297249594644,0.227152908865,0.274019449762,0.181808359948,0.157418933357,0.138934838367,0.00907273224468,0.0154541206004
4,100,0.2870553052,0.259419780243,0.312468395547,0.237449916269,0.315544519797,0.257654930805,0.291133956524,0.208114055332,0.174751977758,0.161464850949,0.0116738135277,0.0193751104326
5,1,0.0570820196035,0.0345286798687,0.0772618240413,0.023929967015,0.0766831262158,0.0255849595027,0.0655784162875,0.019550548147,0.0296226980962,0.0253292030004,0.00079812269287,0.0
5,2,0.0858890143193,0.0506421505674,0.107268280857,0.0468271769938,0.11164635659,0.042296452557,0.097022816896,0.0336837830206,0.0476066607098,0.0360745510783,0.000987452852161,0.00058499500877
5,3,0.10559606228,0.0615006268529,0.128194271467,0.0584138892951,0.132537450815,0.05895262111,0.116701370557,0.042990222317,0.0566928553243,0.0459254188719,0.00133891200678,0.00129643199421
5,5,0.132854359771,0.0793890324361,0.157778751441,0.0783869523691,0.163384520353,0.081337072619,0.142119917422,0.0551019795906,0.0683269364569,0.0589209537171,0.00183183091724,0.00262112155151
5,10,0.170997183443,0.103569356563,0.197531495005,0.109152135137,0.201632261753,0.114991216657,0.178598681079,0.0811650022044,0.09060752129,0.0803421747095,0.00292634064153,0.00377007367045
