,,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate
,,BPRMF,BPRMF,BPRMF,BPRMF,BPRMF,WRMF,WRMF,WRMF,WRMF,WRMF,SVD,SVD,SVD,SVD,SVD,CoFFee,CoFFee,CoFFee,CoFFee,CoFFee,mostpopular,mostpopular,mostpopular,mostpopular,mostpopular,random,random,random,random,random
fold,top-n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.214945424013,0.0368777737795,0.00982800900937,0.939794157237,0.95976370397,0.259445843829,0.0441445763864,0.00829968147348,0.941322484773,0.952496901363,0.251889168766,0.0434508816121,0.00980401956472,0.939818146682,0.953190596138,0.225020990764,0.0377290658777,0.00577745791852,0.943844708328,0.958912411872,0.115869017632,0.0195240760732,0.00558154412059,0.944040622126,0.977117401677,0.00335852225021,0.000478122959231,0.000314861460957,0.949307304786,0.996163354791
1,2,0.327875734677,0.0654755241027,0.0172823957459,0.932339770501,0.931165953647,0.371116708648,0.0742100142604,0.0174906374529,0.932131528794,0.922431463489,0.37825356843,0.076526994789,0.0189973078512,0.930624858396,0.920114482961,0.328715365239,0.0647028640731,0.0117265070036,0.937895659243,0.931938613677,0.182199832074,0.0318483200725,0.00962676422374,0.939995402023,0.964793157677,0.00419815281276,0.000897938240508,0.000554755907401,0.949067410339,0.995743539509
1,3,0.411978729359,0.0882278464142,0.0245725214239,0.925049644823,0.908413631336,0.445284075007,0.0994755640851,0.0238691642344,0.925753002012,0.897165913665,0.447942905122,0.103306211933,0.0260928524782,0.923529313769,0.893335265816,0.39364679541,0.0841223195127,0.0180297335839,0.931592432663,0.912519158237,0.21704450042,0.0397884930631,0.0142817160449,0.935340450202,0.956852984687,0.00419815281276,0.000897938240508,0.000694694334493,0.948927471912,0.995743539509
1,5,0.497131262245,0.122867604921,0.0397854943825,0.909836671864,0.873773872829,0.53176602295,0.138095238095,0.0378356856317,0.911786480615,0.858546239655,0.535936188077,0.139007836552,0.0411152426266,0.90850692362,0.857633641198,0.490008396306,0.119239867792,0.0291471752429,0.920474991004,0.877401609958,0.280366638679,0.0585435741607,0.0225694027961,0.927052763451,0.938097903589,0.00755667506297,0.0014227073421,0.00212906321219,0.947493103035,0.995218770408
1,10,0.601063532046,0.183876760892,0.0691162555142,0.880505910733,0.812764716858,0.641967534285,0.207571335279,0.0657170844828,0.883905081764,0.789070142471,0.632395745872,0.206725374169,0.0693101701918,0.880311996055,0.789916103581,0.593772739994,0.178378846641,0.0510282142524,0.898593951994,0.818262631109,0.394766302827,0.0958298348727,0.0362660429411,0.913356123306,0.900811642877,0.0125944584383,0.00225400823638,0.00212906321219,0.947493103035,0.994387469513
1,15,0.656001359402,0.234844335159,0.0941835592339,0.855438607013,0.761797142591,0.682453720363,0.249571521864,0.0897361827463,0.859885983501,0.747069955886,0.67541481748,0.247928911279,0.0942238748284,0.855398291418,0.748712566471,0.66038343129,0.223481001693,0.066837258273,0.882784907974,0.773160476057,0.479541001959,0.130936054803,0.0480911732171,0.90153099303,0.865705422947,0.0201511335013,0.00337684752042,0.00520271080724,0.94441945544,0.993264630229
1,20,0.684700731678,0.277049098397,0.118403569096,0.831218597151,0.719592379353,0.703658390308,0.285772593392,0.111658203724,0.837963962523,0.710868884358,0.699752109072,0.283552570202,0.11851118841,0.831110977836,0.713088907547,0.697487105674,0.260449069076,0.0859201951141,0.863701971133,0.736192408674,0.531604094199,0.157864206416,0.0629379739581,0.886684192289,0.838777271334,0.0335852225021,0.00699059080671,0.00544760305466,0.944174563192,0.989650886943
1,30,0.721389588581,0.345336718511,0.156753695041,0.792868471206,0.651304759239,0.725677701811,0.347831287567,0.150339184092,0.799282982155,0.648810190183,0.713207188837,0.348649260992,0.161110444738,0.788511721509,0.647992216758,0.721861380992,0.319531406181,0.124282648968,0.825339517279,0.677110071569,0.594702330974,0.200306864979,0.0836065464529,0.866015619794,0.79633461277,0.0474391267842,0.00947616382125,0.0080924393267,0.94152972692,0.987165313929
1,50,0.727075420148,0.433432956166,0.225435141871,0.724187024376,0.563208521584,0.737446190343,0.440791051937,0.209724387936,0.739897778311,0.555850425813,0.725815641118,0.436489944424,0.225423480335,0.724198685912,0.560151533325,0.746477549878,0.410710287474,0.176474351285,0.773147814961,0.585931190276,0.652815761065,0.262104340757,0.118258632868,0.831363533379,0.734537136993,0.0743073047859,0.014546932683,0.0124988338464,0.9371233324,0.982094545067
1,70,0.717021843722,0.501927152053,0.284120986766,0.665501179481,0.494714325697,0.733519584716,0.508227046766,0.258344661682,0.691277504565,0.488414430984,0.726284101662,0.509080337985,0.273854170832,0.675767995415,0.487561139765,0.746909359882,0.473765543161,0.221288966188,0.728333200059,0.522875934589,0.672748990444,0.310513040929,0.159529473698,0.790092692549,0.686128436821,0.100895605933,0.0203833646529,0.0189723188464,0.9306498474,0.976258113097
1,100,0.709128316874,0.57971625818,0.35793517519,0.591686991057,0.41692521957,0.730973371716,0.582121533192,0.314094798289,0.635527367958,0.414519944558,0.717408673517,0.581298561966,0.340669771967,0.60895239428,0.415342915784,0.743598150147,0.547732997481,0.26897298522,0.680649181027,0.448908480269,0.696303293218,0.367986752496,0.202684485493,0.746937680754,0.628654725254,0.152253008676,0.0304196153692,0.0275295536631,0.922092612584,0.966221862381
2,1,0.206549118388,0.0335618994309,0.0102494902243,0.946929351086,0.963079578319,0.23341729639,0.0398721229326,0.0104090866685,0.946769754641,0.956769354817,0.239294710327,0.0407320778857,0.00998827182706,0.947190569483,0.955909399864,0.224181360202,0.036962736396,0.00679001239455,0.950388828915,0.959678741354,0.111670864819,0.0179467700878,0.00429011235057,0.952888728959,0.978694707662,0.0016792611251,0.00034984606773,0.0,0.95717884131,0.996291631682
2,2,0.316540722082,0.0600315861021,0.0173180467261,0.939860794584,0.936609891648,0.350125944584,0.0715055375635,0.0160459397865,0.941132901523,0.925135940186,0.337111670865,0.0686348006877,0.0169582050564,0.940220636253,0.928006677062,0.313182199832,0.0598526648275,0.012157317447,0.945021523863,0.936788812922,0.172544080605,0.0294620367039,0.00891707648635,0.948261764823,0.967179441046,0.0016792611251,0.00034984606773,0.000932922847281,0.956245918463,0.996291631682
2,3,0.388609012035,0.0825470126478,0.0252928711367,0.931885970173,0.914094465102,0.411698852505,0.0939113456746,0.0232124531873,0.933966388123,0.902730132075,0.422334172964,0.0938173870164,0.0225740674103,0.934604773899,0.902824090733,0.37923313742,0.0819249530207,0.0163937867338,0.940785054576,0.914716524729,0.222082283795,0.0426762224621,0.0150916929884,0.942087148321,0.953965255288,0.00335852225021,0.000574747111271,0.0010378766676,0.956140964642,0.996066730639
2,5,0.475440806045,0.117326043208,0.0430090760066,0.914169765303,0.879315434542,0.50216904562,0.129420721549,0.034936294697,0.922242546613,0.867220756201,0.496585502379,0.128029666947,0.0367261738169,0.920452667493,0.868611810803,0.461586901763,0.112476843522,0.0251419375475,0.932036903762,0.884164634228,0.299048418696,0.0629189823144,0.0217364359682,0.935442405342,0.933722495435,0.00503778337531,0.000799648154812,0.0010378766676,0.956140964642,0.995841829595
2,10,0.602406940946,0.187091346474,0.0736419308837,0.883536910426,0.809550131276,0.602672823957,0.191416443432,0.0608159076673,0.896362933643,0.805225034318,0.598544640358,0.193997974225,0.0638199192355,0.893358922074,0.802643503525,0.573481668066,0.173824184026,0.0482727599856,0.908906081324,0.822817293724,0.408382311783,0.0998763877227,0.0395759199286,0.917602921381,0.896765090027,0.0125944584383,0.00192448655925,0.00229965481855,0.954879186491,0.994716991191
2,15,0.643980648515,0.238516052937,0.103463142884,0.853715698426,0.758125424813,0.646751429371,0.23928937934,0.0852394946224,0.871939346687,0.75735209841,0.639178761345,0.242535284475,0.0948619274186,0.862316913891,0.754106193275,0.626420375035,0.215073700905,0.0660422747325,0.891136566577,0.781567776845,0.467380352645,0.126325416817,0.0534011701518,0.903777671158,0.870316060933,0.0235096557515,0.00401989791159,0.00305532232484,0.954123518985,0.992621579838
2,20,0.671308624205,0.28174869724,0.131740034385,0.825438806925,0.71489278051,0.669125584743,0.27531186278,0.106116642011,0.851062199299,0.721329614969,0.666178881292,0.279140844695,0.114885450402,0.842293390908,0.717500633055,0.6623945464,0.248951461357,0.0815567816827,0.875622059627,0.747690016393,0.506801007557,0.148433689177,0.0665467194434,0.890632121866,0.848207788573,0.0335852225021,0.00553856303227,0.00382831554116,0.953350525769,0.991102914718
